id,kode_provinsi,nama_provinsi,kode_kabupaten_kota,nama_kabupaten_kota,kondisi_kerusakan,jumlah_kerusakan,satuan,tahun
1560,32,JAWA BARAT,3217,KABUPATEN BANDUNG BARAT,TERENDAM/TERTIMBUN,92,UNIT,2021
1561,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,HANCUR,0,UNIT,2021
1562,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK BERAT,3,UNIT,2021
1563,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK SEDANG,3,UNIT,2021
1564,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,RUSAK RINGAN,8,UNIT,2021
1565,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TERANCAM,0,UNIT,2021
1566,32,JAWA BARAT,3218,KABUPATEN PANGANDARAN,TERENDAM/TERTIMBUN,0,UNIT,2021
1567,32,JAWA BARAT,3271,KOTA BOGOR,HANCUR,0,UNIT,2021
1568,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK BERAT,30,UNIT,2021
1569,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK SEDANG,66,UNIT,2021
1570,32,JAWA BARAT,3271,KOTA BOGOR,RUSAK RINGAN,82,UNIT,2021
1571,32,JAWA BARAT,3271,KOTA BOGOR,TERANCAM,87,UNIT,2021
1572,32,JAWA BARAT,3271,KOTA BOGOR,TERENDAM/TERTIMBUN,481,UNIT,2021
1573,32,JAWA BARAT,3272,KOTA SUKABUMI,HANCUR,0,UNIT,2021
1574,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK BERAT,2,UNIT,2021
1575,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK SEDANG,0,UNIT,2021
1576,32,JAWA BARAT,3272,KOTA SUKABUMI,RUSAK RINGAN,3,UNIT,2021
1577,32,JAWA BARAT,3272,KOTA SUKABUMI,TERANCAM,0,UNIT,2021
1578,32,JAWA BARAT,3272,KOTA SUKABUMI,TERENDAM/TERTIMBUN,9,UNIT,2021
1579,32,JAWA BARAT,3273,KOTA BANDUNG,HANCUR,0,UNIT,2021
1580,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK BERAT,9,UNIT,2021
1581,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK SEDANG,2,UNIT,2021
1582,32,JAWA BARAT,3273,KOTA BANDUNG,RUSAK RINGAN,2,UNIT,2021
1583,32,JAWA BARAT,3273,KOTA BANDUNG,TERANCAM,2,UNIT,2021
1584,32,JAWA BARAT,3273,KOTA BANDUNG,TERENDAM/TERTIMBUN,170,UNIT,2021
1585,32,JAWA BARAT,3274,KOTA CIREBON,HANCUR,0,UNIT,2021
1586,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK BERAT,5,UNIT,2021
1587,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK SEDANG,7,UNIT,2021
1588,32,JAWA BARAT,3274,KOTA CIREBON,RUSAK RINGAN,34,UNIT,2021
1589,32,JAWA BARAT,3274,KOTA CIREBON,TERANCAM,0,UNIT,2021
1590,32,JAWA BARAT,3274,KOTA CIREBON,TERENDAM/TERTIMBUN,9,UNIT,2021
1591,32,JAWA BARAT,3275,KOTA BEKASI,HANCUR,0,UNIT,2021
1592,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK BERAT,0,UNIT,2021
1593,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK SEDANG,0,UNIT,2021
1594,32,JAWA BARAT,3275,KOTA BEKASI,RUSAK RINGAN,39,UNIT,2021
1595,32,JAWA BARAT,3275,KOTA BEKASI,TERANCAM,0,UNIT,2021
1596,32,JAWA BARAT,3275,KOTA BEKASI,TERENDAM/TERTIMBUN,787,UNIT,2021
1597,32,JAWA BARAT,3276,KOTA DEPOK,HANCUR,0,UNIT,2021
1598,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK BERAT,0,UNIT,2021
1599,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK SEDANG,0,UNIT,2021
1600,32,JAWA BARAT,3276,KOTA DEPOK,RUSAK RINGAN,65,UNIT,2021
1601,32,JAWA BARAT,3276,KOTA DEPOK,TERANCAM,0,UNIT,2021
1602,32,JAWA BARAT,3276,KOTA DEPOK,TERENDAM/TERTIMBUN,14,UNIT,2021
1603,32,JAWA BARAT,3277,KOTA CIMAHI,HANCUR,0,UNIT,2021
1604,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK BERAT,2,UNIT,2021
1605,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK SEDANG,5,UNIT,2021
1606,32,JAWA BARAT,3277,KOTA CIMAHI,RUSAK RINGAN,55,UNIT,2021
1607,32,JAWA BARAT,3277,KOTA CIMAHI,TERANCAM,0,UNIT,2021
1608,32,JAWA BARAT,3277,KOTA CIMAHI,TERENDAM/TERTIMBUN,324,UNIT,2021
1609,32,JAWA BARAT,3278,KOTA TASIKMALAYA,HANCUR,0,UNIT,2021
1610,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK BERAT,5,UNIT,2021
1611,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK SEDANG,6,UNIT,2021
1612,32,JAWA BARAT,3278,KOTA TASIKMALAYA,RUSAK RINGAN,9,UNIT,2021
1613,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TERANCAM,0,UNIT,2021
1614,32,JAWA BARAT,3278,KOTA TASIKMALAYA,TERENDAM/TERTIMBUN,0,UNIT,2021
1615,32,JAWA BARAT,3279,KOTA BANJAR,HANCUR,0,UNIT,2021
1616,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK BERAT,3,UNIT,2021
1617,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK SEDANG,2,UNIT,2021
1618,32,JAWA BARAT,3279,KOTA BANJAR,RUSAK RINGAN,4,UNIT,2021
1619,32,JAWA BARAT,3279,KOTA BANJAR,TERANCAM,0,UNIT,2021
1620,32,JAWA BARAT,3279,KOTA BANJAR,TERENDAM/TERTIMBUN,5,UNIT,2021
